"","countrycode","year","gdppc","growth","UDel_pop_preci","UDel_pop_temp"
"2850","DEU",1967,NA,NA,826.033602185711,9.41128875186397
"2851","DEU",1968,NA,NA,854.569255171345,8.68905984788138
"2852","DEU",1969,NA,NA,726.919485746434,8.3756697142162
"2853","DEU",1970,17887.10176,NA,904.616211940824,8.28526464206502
"2854","DEU",1971,18413.63546,0.0290115667331872,606.142020466835,8.94980763362018
"2855","DEU",1972,19113.80954,0.0373196385943348,666.986783936978,8.39881860822056
"2856","DEU",1973,19963.99507,0.0435193182924714,695.234318159686,8.73231207139325
"2857","DEU",1974,20133.84082,0.00847161758354531,884.894973448689,9.32437682873609
"2858","DEU",1975,20033.88954,-0.00497670569883901,659.312917187861,9.44694533596966
"2859","DEU",1976,21115.76207,0.0525944625913048,581.229442914776,9.03794173984617
"2860","DEU",1977,21872.00981,0.0351879493613048,811.238720982812,9.18469139031217
"2861","DEU",1978,22549.6444,0.030511567922872,794.093929015667,8.28035150822275
"2862","DEU",1979,23475.15652,0.0402233961677165,817.694202833328,8.25737477901303
"2863","DEU",1980,23756.5518,0.011915665109246,826.224041698422,8.18564196890752
"2864","DEU",1981,23845.93405,0.00375536501712936,984.230722829065,8.6656120158623
"2865","DEU",1982,23774.38246,-0.00300508896579288,718.731264986969,9.41342373990763
"2866","DEU",1983,24211.60148,0.0182232845358552,782.100600706804,9.46661054390313
"2867","DEU",1984,24981.28519,0.0312950338458222,838.548839375828,8.45538421851674
"2868","DEU",1985,25620.02757,0.0252474204474247,729.518355715088,7.88081690606583
"2869","DEU",1986,26194.05326,0.0221580376147905,860.463378742795,8.36325776815678
"2870","DEU",1987,26520.56205,0.0123879483367872,879.253245129339,7.93163738804582
"2871","DEU",1988,27396.50007,0.0324949120317246,861.261064491349,9.47436809664007
"2872","DEU",1989,28244.74503,0.0304921530883178,673.937229942234,9.900946417183
"2873","DEU",1990,29473.85439,0.0425961548404725,779.03465884348,9.88737624202973
"2874","DEU",1991,30754.55822,0.0425346395710697,629.661815128082,8.72933204910798
"2875","DEU",1992,31108.55743,0.0114447217933424,783.307075390043,9.69541904135692
"2876","DEU",1993,30602.8305,-0.0163904351764508,862.759045938958,8.88010329105893
"2877","DEU",1994,31226.31856,0.0201687781417643,866.951902261086,10.0904513820665
"2878","DEU",1995,31615.44279,0.0123844142837584,846.010609916659,9.29209375059001
"2879","DEU",1996,31778.08441,0.00513118559681658,666.386199307319,7.59979826300018
"2880","DEU",1997,32300.30457,0.0162997768931046,696.457259746144,9.26770819609949
"2881","DEU",1998,32945.82141,0.0197877772257815,901.670126482189,9.39030685958263
"2882","DEU",1999,33545.90584,0.0180503875548954,819.381557070054,9.83080689754009
"2883","DEU",2000,34476.20803,0.0273546394430273,822.540186063099,10.2222629873055
"2884","DEU",2001,34996.99124,0.0149926294031975,900.643138091514,9.37111099033533
"2885","DEU",2002,34869.03232,-0.00366298399575093,967.386593232563,9.87167410217819
"2886","DEU",2003,34605.74422,-0.00757942302376513,594.655124613864,9.71560297250388
"2887","DEU",2004,35019.99414,0.011899473321435,784.131979721955,9.17471711031226
"2888","DEU",2005,35296.27286,0.00785821413750476,747.995103663153,9.24898151741495
"2889","DEU",2006,36684.6907,0.0385821472292438,731.456049672239,9.76437970017936
"2890","DEU",2007,37827.14217,0.0306673708871692,928.39158727172,9.98023773749831
"2891","DEU",2008,38262.9221,0.011454444121016,754.422264336406,9.56510718350079
"2892","DEU",2009,36175.84148,-0.056089802284319,789.379319388018,9.29907092648138
"2893","DEU",2010,37745.73075,0.0424808429689847,829.858453040851,7.95581002490346
"2894","DEU",2011,39961.26765,0.057038299665825,717.996106979618,9.87406548797892
"2895","DEU",2012,40053.2429,0.00229896527210016,768.802870499638,9.22779254222134
"2896","DEU",2013,40118.87838,0.00163736455056807,776.375756783602,8.79270720603886
"2897","DEU",2014,40834.73633,0.0176860937556214,741.379912890768,10.5110499721832
"2898","DEU",2015,41086.72967,0.00615209046163834,709.553091887873,10.0282070810287
"2899","DEU",2016,41665.27277,0.0139828042645185,724.913256502762,9.70562418983546
"2900","DEU",2017,42622.40993,0.0227121750972863,809.162331176344,9.71869211500271
"2901","DJI",1960,NA,NA,155.47183875559,27.4725515691827
"2902","DJI",1961,NA,NA,201.599062004858,28.0722602807063
"2903","DJI",1962,NA,NA,201.574724167156,27.6591310882046
"2904","DJI",1963,NA,NA,163.668291327655,28.0941593013834
"2905","DJI",1964,NA,NA,235.097690182746,27.5831403444692
"2906","DJI",1965,NA,NA,111.451151241357,27.1180638827778
"2907","DJI",1966,NA,NA,115.653746616977,27.6713436203667
"2908","DJI",1967,NA,NA,234.424795870011,27.5084458423115
"2909","DJI",1968,NA,NA,207.422025491369,27.4550644998336
